id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords
330885,RU-0508,closed,Burtsevo Airstrip,56.151721,43.701272,575.0,EU,RU,RU-NIZ,Doskino,no,,,,,,"UWGQ, UWGQ"
330886,RU-0509,closed,Shapkino Airport,56.037273,43.558402,430.0,EU,RU,RU-NIZ,Troitsa,no,,,,,,
330887,RU-0510,closed,Krapivye Airport,56.396436,40.338347,410.0,EU,RU,RU-VLA,Suzdal,no,,,,,,
330888,RU-0511,small_airport,Nebyloye Airfield,56.401394,39.958137,656.0,EU,RU,RU-VLA,Zventsovo,no,UUIN,,,,,"Fedorovskoye,Andreyevskoye"
330889,RU-0512,closed,Tarbayevo Airport,56.296683,40.157771,595.0,EU,RU,RU-VLA,Staryy Dvor,no,,,,,,
330891,RU-0513,closed,Turtino Airport,56.368268,40.266128,525.0,EU,RU,RU-VLA,Vysheslavskoye,no,,,,,,
330892,RU-0514,small_airport,Orlovka Airfield,56.143813,34.988268,676.0,EU,RU,RU-YAR,Petrovskoye,no,,,,,"https://ru.wikipedia.org/wiki/%D0%9E%D1%80%D0%BB%D0%BE%D0%B2%D0%BA%D0%B0_(%D0%B0%D1%8D%D1%80%D0%BE%D0%B4%D1%80%D0%BE%D0%BC,_%D0%",Орловка
330902,RU-0515,closed,Selizharovo Airfield,56.819368,33.328104,735.0,EU,RU,RU-TVE,,no,,,,,,
330903,RU-0516,closed,Kusnetsovka Airfield,56.61675,34.517382,794.0,EU,RU,RU-TVE,Lukovnikovo,no,,,,,,
330915,RU-0517,small_airport,Bakhta Airport,62.468115,88.998827,102.0,EU,RU,RU-KYA,Bakhta,no,,,UNHB,,,"УНХБ, Бахта"
330919,RU-0518,closed,Lebed Airport,62.088049,89.181841,98.0,EU,RU,RU-KYA,Lebed,no,,,,,,
330921,RU-0519,small_airport,Poligus Airport,62.002853,94.657168,1121.0,EU,RU,RU-KYA,Poligus,no,,,UNJP,,,"УНЙП, Полигус"
330922,RU-0520,closed,Vorogovo Airport,61.038261,89.613805,98.0,EU,RU,RU-KYA,Vorogovo,no,,,,,,"УНХВ, Ворогово, UNHW"
331743,RU-0521,small_airport,Visokiy Airstrip,44.7770214,40.8997519,,EU,RU,RU-KDA,,no,,,,,,
332760,RU-0522,small_airport,Paradrom Pokrov,55.43705,37.626689,,EU,RU,RU-MOW,,no,,,ZF94,,,
333503,RU-0523,small_airport,Podgornoye Airfield,54.740583,20.726472,-5.0,EU,RU,RU-KGD,,no,,,,https://aeroland.club/,,Подгорное
334131,RU-0524,small_airport,Southern Sky Airfield,44.937911,38.929186,,EU,RU,RU-AD,Enem,no,,,XRKD,,,Southern Sky
335060,RU-0525,small_airport,Beregovoy Airport,54.358554,127.501488,1150.0,AS,RU,RU-AMU,Zeysky District,no,,,,,,
335061,RU-0526,small_airport,Fevralsk Airport,52.495787,130.915318,890.0,AS,RU,RU-AMU,,no,UHBF,,,,,
335168,RU-0527,small_airport,Byas-Kyuyol Airport,59.498603,119.309163,,EU,RU,RU-SA,,yes,UEBY,,,,,
337387,RU-0528,small_airport,Mys Shmidta,68.866213,-179.375284,20.0,EU,RU,RU-CHU,689350,no,,,,http://www.rrwx.com/airport/RU/UHMI/,https://es.wikipedia.org/wiki/Aeropuerto_de_Mys_Shmidta,"siberia, mys, shmidta,"
